    PID TTY          TIME CMD
    800 ?        00:00:00 avahi-daemon
    749 ?        00:00:00 avahi-daemon
   2480 pts/0    00:00:00 bash
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
    750 ?        00:00:00 dbus-daemon
     52 ?        00:00:00 ecryptfs-kthread
   1690 ?        00:00:00 fusermount3
   1564 ?        00:00:00 gdm-session-wor
   2299 ?        00:00:00 gjs
     19 ?        00:00:00 idle_inject/0
     22 ?        00:00:00 idle_inject/1
     41 ?        00:00:00 irq/9-acpi
    292 ?        00:00:00 jbd2/dm-0-8
    497 ?        00:00:00 jbd2/sda2-8
     30 ?        00:00:00 kauditd
     34 ?        00:00:00 kcompactd0
     27 ?        00:00:00 kdevtmpfs
     37 ?        00:00:00 khugepaged
     31 ?        00:00:00 khungtaskd
     36 ?        00:00:00 ksmd
     16 ?        00:00:00 ksoftirqd/0
     24 ?        00:00:00 ksoftirqd/1
     51 ?        00:00:00 kswapd0
      2 ?        00:00:00 kthreadd
      8 ?        00:00:00 kworker/0:0-events
     10 ?        00:00:00 kworker/0:0H-events_highpri
      9 ?        00:00:00 kworker/0:1-cgroup_destroy
     50 ?        00:00:00 kworker/0:1H-kblockd
    129 ?        00:00:00 kworker/0:2-events
    130 ?        00:00:00 kworker/0:3-cgroup_destroy
    376 ?        00:00:00 kworker/0:4-cgroup_destroy
     25 ?        00:00:00 kworker/1:0-cgroup_destroy
     26 ?        00:00:00 kworker/1:0H-events_highpri
     49 ?        00:00:00 kworker/1:1-cgroup_destroy
    111 ?        00:00:00 kworker/1:1H-kblockd
    132 ?        00:00:00 kworker/1:2-events
    496 ?        00:00:00 kworker/1:3-inet_frag_wq
     54 ?        00:00:00 kworker/R-acpi_
     43 ?        00:00:00 kworker/R-ata_s
     40 ?        00:00:00 kworker/R-blkcg
     85 ?        00:00:00 kworker/R-charg
    622 ?        00:00:00 kworker/R-crypt
     47 ?        00:00:00 kworker/R-devfr
     46 ?        00:00:00 kworker/R-edac-
    293 ?        00:00:00 kworker/R-ext4-
